"","Sample","Biorep","Biomass","Culture","Color","Lineage","k","t.gen","Endpoint","Copynumb","log.copy","Ratio"
"2","XA.1-l","biorep1",4.15384615384615e-07,"Single","Light","A",0.0338636800962115,0.512978058748409,0.0179219079972623,-0.31575402309609,-0.0232357003264465,-0.333675931093352
"3","XA.1-m","biorep1",4.7061472641297e-07,"Single","Dark","A",0.575014363120062,0.0975802502708958,0.510961919277379,-0.00281269368209143,-0.000205337178483721,-0.513774612959471
"4","XA.2-l","biorep1",5.85434173669468e-07,"Single","Light","A",0.0731203793769065,0.294538323872576,0.0959244199985356,-0.732810690011586,-0.0545111001188555,-0.828735110010122
"5","XA.2-m","biorep1",3.90507518796992e-07,"Single","Dark","A",0.535352072279034,0.103628981079328,0.502307453966841,0.257728980739348,0.0186922252049638,-0.244578473227493
"6","XA.3-l","biorep1",5.58317060181076e-07,"Single","Light","A",0.103304980535744,0.45812301305151,0.100518994075786,-0.659793793409656,-0.0489863166056162,-0.760312787485442
"7","XA.3-m","biorep1",3.37046204620462e-07,"Single","Dark","A",0.531312293221576,0.0619368163592962,0.47779505534218,0.445620528711109,0.0321683379109856,-0.032174526631071
"8","XA.4-l","biorep1",6.98209718670077e-06,"Single","Light","A",-0.156084527521005,0.462248291066991,-0.103640071883651,-4.50845675234185,-0.373555693055448,-4.4048166804582
"9","XA.4-m","biorep1",9.66869506423259e-07,"Single","Dark","A",0.656941319060177,0.0557243333911201,0.548436624696042,-1.00411271182898,-0.0752263885089939,-1.55254933652502
"10","XA.5-l","biorep1",4.06137184115523e-07,"Single","Light","A",-0.0423995155936948,0.2292196414371,-0.00410439833273667,-0.305299665458924,-0.0224603650618862,-0.301195267126187
"11","XA.5-m","biorep1",3.60185185185185e-07,"Single","Dark","A",0.465124547196297,0.0703972973698506,0.407229132182689,0.279262142288989,0.0202430462360215,-0.1279669898937
"12","XB.1-l","biorep1",4.05712841253792e-07,"Single","Light","B",0.209455325421449,0.152442200684009,0.1300322743188,-0.169654838890093,-0.0124380202970601,-0.299687113208893
"13","XB.1-m","biorep1",4.4755877034358e-07,"Single","Dark","B",0.27453401074118,-0.179679827607156,0.24031432933371,-0.200990957356893,-0.0147471651583064,-0.441305286690603
"14","XB.2-l","biorep1",6.03560170591508e-07,"Single","Light","B",0.187796368943714,0.148697920134342,0.150116520362132,-0.722609231138644,-0.053737939672084,-0.872725751500776
"15","XB.2-m","biorep1",3.71585351306215e-07,"Single","Dark","B",0.126872300154129,0.065819864211501,0.0866911402204985,-0.0862306355504847,-0.00630848404471153,-0.172921775770983
"16","XB.3-l","biorep1",5.50887021475257e-07,"Single","Light","B",-0.00351743858041759,0.224250800887341,0.0081739314457001,-0.732810690011586,-0.0545111001188555,-0.740984621457286
"17","XB.3-m","biorep1",4.92539708005776e-07,"Single","Dark","B",0.104532347240774,0.00630890365679434,0.065697632566676,-0.51377055223832,-0.0380006094435601,-0.579468184804996
"18","XB.4-l","biorep1",6.68576886341929e-07,"Single","Light","B",-0.0830794122636017,0.226904549759055,-0.0671141958585369,-1.0874358227184,-0.0816487007701506,-1.02032162685986
"19","XB.4-m","biorep1",2.97883597883598e-07,"Single","Dark","B",-0.0261153950139038,-0.0319091134353089,-0.0594061007232739,0.0866170643465932,0.00630910486444302,0.146023165069867
"20","XB.5-l","biorep1",2.95238095238095e-07,"Single","Light","B",-0.127840367188864,0.107994658317014,-0.0722759009743158,0.0866170643465932,0.00630910486444302,0.158892965320909
"21","XB.5-m","biorep1",3.14285714285714e-07,"Single","Dark","B",0.083202211465782,0.126680236657757,0.0179219079972623,0.0866170643465932,0.00630910486444302,0.0686951563493308
"22","XC.1-l","biorep1",3.25396825396825e-07,"Single","Light","C",0.119295796701616,0.023940664277538,0.0680453874230989,0.0866170643465932,0.00630910486444302,0.0185716769234943
"23","XC.1-m","biorep1",1.03117206982544e-06,"Single","Dark","C",0.580810958060356,0.146782148723997,0.495346306367771,-1.15009502830692,-0.0864972008445858,-1.64544133467469
"24","XC.2-l","biorep1",2.89276204308884e-07,"Single","Light","C",-0.500706968462645,0.566327977239391,-0.295530404822755,-0.107206204793084,-0.00784720059296614,0.188324200029671
"25","XC.2-m","biorep1",1.33245815556285e-06,"Single","Dark","C",0.528782211038706,0.12123231087935,0.468938704381673,-1.54630776496272,-0.117538850073916,-2.01524646934439
"26","XC.3-l","biorep1",3.8675429726997e-07,"Single","Light","C",0.0298905558201432,0.0880457291009181,0.0609906298891484,-0.169654838890093,-0.0124380202970601,-0.230645468779242
"27","XC.3-m","biorep1",9.86358866736621e-07,"Single","Dark","C",0.403272838232033,0.134036406930288,0.358191638874134,-1.22314914573926,-0.0921706982881944,-1.5813407846134
"28","XC.4-l","biorep1",4.32623092427296e-07,"Single","Light","C",0.0182709522710288,0.0929981032650553,0.034823967907682,-0.357514854267112,-0.0263370071360444,-0.392338822174794
"29","XC.4-m","biorep1",4.82683235531009e-07,"Single","Dark","C",0.582078079296517,0.0646364957369061,0.51612978763632,-0.0341750796576447,-0.002496890789528,-0.550304867293964
"30","XC.5-l","biorep1",7.31852913085005e-07,"Single","Light","C",0.050678560497829,0.0995174600823532,0.0633460508872781,-1.0874358227184,-0.0816487007701506,-1.15078187360567
"31","XC.5-m","biorep1",6.45873179343828e-07,"Single","Dark","C",0.658314579168038,0.0340654913812127,0.581679916731855,-0.388799142172408,-0.0286646644906445,-0.970479058904263
"32","XD.1-l","biorep1",6.83741138806311e-07,"Single","Light","D",0.0141785077048685,0.127387839754639,0.0276044613946016,-1.025073916568,-0.0768393300794841,-1.0526783779626
"33","XD.1-m","biorep1",7.31286650569162e-07,"Single","Dark","D",0.622714741616037,0.0391143116772265,0.531523241759696,-0.618141931587807,-0.0458442021916975,-1.1496651733475
"34","XD.2-l","biorep1",3.11579980372915e-07,"Single","Light","D",0.0638292927574238,0.166813252426757,0.114215568856025,0.195384881403972,0.0141927719898416,0.0811693125479471
"35","XD.2-m","biorep1",1.02955426356589e-06,"Single","Dark","D",0.612240159154416,0.0265121194447723,0.534921818221561,-1.10825429422595,-0.0832578042226983,-1.64317611244751
"36","XD.3-l","biorep1",3.07270916334661e-07,"Single","Light","D",0.0539823298739689,0.127511813994754,0.0727294663459145,0.17399009918893,0.0126454434294504,0.101260632843016
"37","XD.3-m","biorep1",1.11503943432146e-06,"Single","Dark","D",0.535662272212468,0.0100919548069115,0.483082886701943,-1.27516808844591,-0.0962242142204975,-1.75825097514785
"38","XD.4-l","biorep1",3.58357904286686e-07,"Single","Light","D",0.0959413008150963,0.00987858917404654,0.1073835353736,-0.0132457880334566,-0.000967247519330555,-0.120629323407056
"39","XD.4-m","biorep1",1.02741549108331e-06,"Single","Dark","D",0.446846195800469,0.0779796703955363,0.396059824464577,-1.24411614900743,-0.0938031578829111,-1.64017597347201
"40","XD.5-l","biorep1",3.96647307286167e-07,"Single","Light","D",0.0123017081000435,0.0913488218738137,0.034823967907682,-0.232260934180819,-0.0170551262409692,-0.267084902088501
"41","XD.5-m","biorep1",9.56880489752462e-07,"Single","Dark","D",0.28775806216005,0.0697794125503464,0.293450747635794,-1.24411614900743,-0.0938031578829111,-1.53756689664323
"42","XE.1-l","biorep1",5.44181977252843e-07,"Single","Light","E",0.0385815834508878,-0.309781762484252,0.0843735573270992,-0.638943766547364,-0.0474125862410244,-0.723317323874463
"43","XE.2-l","biorep1",3.24867724867725e-07,"Single","Light","E",-0.0518575530149896,-0.232398280714273,0.065697632566676,0.0866170643465932,0.00630910486444302,0.0209194317799171
"44","XE.2-m","biorep1",3.76190476190476e-07,"Single","Dark","E",0.294305196293486,0.149357386646056,0.277308536815912,0.0866170643465932,0.00630910486444302,-0.190691472469319
"45","XE.3-l","biorep1",3.45502645502646e-07,"Single","Light","E",0.215311886892659,0.0115165386123119,0.154541968742927,0.0866170643465932,0.00630910486444302,-0.0679249043963343
"46","XE.3-m","biorep1",4.41711632576233e-07,"Single","Dark","E",0.37371117191527,0.0372124335550337,0.263034405833794,-0.15929856781733,-0.0116756830755792,-0.422332973651124
"47","XE.4-l","biorep1",3.83873894307099e-07,"Single","Light","E",0.241698232624914,-0.0295849445304093,0.206614810771493,-0.0132457880334566,-0.000967247519330555,-0.21986059880495
"48","XE.4-m","biorep1",5.03170664460987e-07,"Single","Dark","E",0.391733186308362,0.0465875426204059,0.315355440963876,-0.294920519678924,-0.0216910197728103,-0.610275960642801
"49","XE.5-l","biorep1",3.64443968746655e-07,"Single","Light","E",0.282682420094554,0.0109962496845319,0.215113775208568,0.0701886029545498,0.00511458964303555,-0.144925172254018
"50","XE.5-m","biorep1",6.81638306292046e-07,"Single","Dark","E",0.243907449088877,-0.066079454514064,0.231962959900788,-0.816271600704429,-0.0608521462831383,-1.04823456060522
"51","XYA.1-m","biorep1",5.5570652173913e-07,"Coc","Dark","A",0.442075144661742,-0.0613769951722447,0.479559820138245,-0.273991498704829,-0.0201409206401738,-0.753551318843074
